Date,HBAR Price (USD),Kraken,Blue Whale,Whale,Shark,Dolphin,Fish,Jellyfish,Shrimp
2026-08-22,0.0793,10072052685,26676510723,4773156026,3024327778,3435291882,1760012076,221380440,37268391
2026-08-22,0.0786,10072052685,26676510723,4773156026,3024327778,3435291882,1760012076,221380440,37268391
2026-08-22,0.0764,10172150629,26575566196,4778804525,3016741337,3438017668,1760038012,221425312,37256321
2026-08-23,0.0776,10172150629,26575566196,4778804525,3016741337,3438017668,1760038012,221425312,37256321
2026-08-23,0.0767,10172150629,26575566196,4778804525,3016741337,3438017668,1760038012,221425312,37256321
2026-08-23,0.0781,10172906689,26574180326,4775110900,3022362420,3436788904,1759983190,221316532,37351041
2026-08-24,0.0793,10172657840,26580046821,4770261335,3020917758,3436859238,1760523418,221385820,37347771
2026-08-25,0.0805,10156566170,26569720478,4801350170,3013323272,3439819292,1760503662,221372503,37344454
2026-08-26,0.0779,10144116483,26592190728,4768391327,3030889138,3445130380,1760564148,221383025,37334772
2026-08-29,0.0757,10059734736,26705912132,4739650739,3027203937,3447388475,1761133399,221593788,37382794
2026-08-29,0.0751,10042962034,26704465681,4759938695,3025166935,3447258465,1761233576,221602521,37372094
2026-08-30,0.0754,10042981714,26706348763,4755663020,3027007892,3447305476,1761691148,221627752,37374235
2026-08-31,0.0734,10042730791,26727876896,4720867451,3038650012,3448436998,1762409294,221655490,37373069
2026-09-02,0.0739,9973671893,26726646532,4789037019,3036051064,3452292859,1763258138,221655131,37387364
2026-09-03,0.0776,9962734185,26735462758,4789849833,3033710083,3455422843,1763772640,221653419,37394240
2026-09-04,0.0776,9920251579,26696170679,4871980004,3029874358,3459753565,1762696622,221784734,37488460
2026-09-05,0.0805,9910685563,26705142924,4875379747,3024439577,3462649900,1762523171,221775588,37403530
2026-09-06,0.0809,9905085563,26718744357,4870626656,3018285695,3465251824,1762907604,221823089,37275212
2026-09-07,0.0814,9905158782,26731172753,4855757915,3021588537,3462295975,1764015657,221821174,38189209
2026-09-08,0.0798,9897936512,26733906737,4853982383,3027115021,3463418470,1764506380,221813937,37320560
2026-09-09,0.0784,9893696502,26707321785,4868460713,3043097275,3463471034,1764813320,221796165,37343207
2026-09-10,0.0754,9883614200,26712046916,4879280866,3035946289,3465061475,1764890602,221811581,37348072
2026-09-11,0.0756,9875588133,26689762096,4914898897,3030922551,3463979373,1765616040,221846990,37385921
2026-09-12,0.0745,9876207003,26642097567,4954784139,3035364109,3465855238,1766423801,221903708,37364435
2026-09-13,0.0756,9878356047,26645230869,4946650024,3037719805,3465606836,1767044267,221976218,37415935
2026-09-14,0.078,9879781500,26638885340,4954507950,3032250832,3467442118,1767960787,221960283,37211190
2026-09-15,0.0787,9867192845,26650210782,4961628350,3023052785,3469459452,1768988380,222037893,37429514
